Date,Currency,INR to Currency,Currency to INR
19-02-2025,Swiss Franc,0.010401,96.143318
19-02-2025,Malaysian Ringgit,0.051123,19.560508
19-02-2025,Japanese Yen,1.742451,0.573904
19-02-2025,Chinese Yuan Renminbi,0.083822,11.930075
20-02-2025,US Dollar,0.011553,86.554247
20-02-2025,Euro,0.01103,90.662977
20-02-2025,British Pound,0.00914,109.412973
20-02-2025,Australian Dollar,0.018066,55.352062
20-02-2025,Canadian Dollar,0.016393,61.000333
20-02-2025,Singapore Dollar,0.015421,64.845352
20-02-2025,Swiss Franc,0.010395,96.2008
20-02-2025,Malaysian Ringgit,0.051181,19.538687
20-02-2025,Japanese Yen,1.727128,0.578996
20-02-2025,Chinese Yuan Renminbi,0.083826,11.929499
21-02-2025,US Dollar,0.011547,86.605569
21-02-2025,Euro,0.011045,90.542415
21-02-2025,British Pound,0.009136,109.45615
21-02-2025,Australian Dollar,0.018113,55.208188
21-02-2025,Canadian Dollar,0.016402,60.96879
21-02-2025,Singapore Dollar,0.015432,64.799546
21-02-2025,Swiss Franc,0.010388,96.266365
21-02-2025,Malaysian Ringgit,0.051074,19.579311
21-02-2025,Japanese Yen,1.726862,0.579085
21-02-2025,Chinese Yuan Renminbi,0.083719,11.944652
22-02-2025,US Dollar,0.01155,86.582568
22-02-2025,Euro,0.011042,90.566995
22-02-2025,British Pound,0.009142,109.389764
22-02-2025,Australian Dollar,0.018172,55.030779
22-02-2025,Canadian Dollar,0.016432,60.856527
22-02-2025,Singapore Dollar,0.015432,64.802483
22-02-2025,Swiss Franc,0.01037,96.435647
22-02-2025,Malaysian Ringgit,0.051035,19.594546
22-02-2025,Japanese Yen,1.724245,0.579964
22-02-2025,Chinese Yuan Renminbi,0.083736,11.942296
23-02-2025,US Dollar,0.011546,86.608991
23-02-2025,Euro,0.011041,90.575125
23-02-2025,British Pound,0.009137,109.439307
23-02-2025,Australian Dollar,0.01812,55.187518
23-02-2025,Canadian Dollar,0.016434,60.849125
23-02-2025,Singapore Dollar,0.01543,64.808596
23-02-2025,Swiss Franc,0.010366,96.468486
23-02-2025,Malaysian Ringgit,0.05102,19.600347
23-02-2025,Japanese Yen,1.723688,0.580151
23-02-2025,Chinese Yuan Renminbi,0.08371,11.945948
24-02-2025,US Dollar,0.011538,86.669195
24-02-2025,Euro,0.011021,90.733897
24-02-2025,British Pound,0.009142,109.379753
24-02-2025,Australian Dollar,0.018159,55.069003
24-02-2025,Canadian Dollar,0.016428,60.873224
24-02-2025,Singapore Dollar,0.01544,64.766575
24-02-2025,Swiss Franc,0.010348,96.633258
24-02-2025,Malaysian Ringgit,0.050855,19.663734
24-02-2025,Japanese Yen,1.722456,0.580566
24-02-2025,Chinese Yuan Renminbi,0.083625,11.958206
25-02-2025,US Dollar,0.011475,87.14521
25-02-2025,Euro,0.01093,91.488094
25-02-2025,British Pound,0.009068,110.273773
25-02-2025,Australian Dollar,0.018118,55.195095
25-02-2025,Canadian Dollar,0.016402,60.967294
25-02-2025,Singapore Dollar,0.015349,65.151225
25-02-2025,Swiss Franc,0.010254,97.527545
25-02-2025,Malaysian Ringgit,0.050745,19.706335
25-02-2025,Japanese Yen,1.710673,0.584565
25-02-2025,Chinese Yuan Renminbi,0.083209,12.017996
26-02-2025,US Dollar,0.011471,87.173583
26-02-2025,Euro,0.010919,91.58306
26-02-2025,British Pound,0.009036,110.665563
26-02-2025,Australian Dollar,0.018162,55.06124
26-02-2025,Canadian Dollar,0.016459,60.758688
26-02-2025,Singapore Dollar,0.015338,65.198811
26-02-2025,Swiss Franc,0.010252,97.544164
26-02-2025,Malaysian Ringgit,0.050793,19.687568
26-02-2025,Japanese Yen,1.714865,0.583136
26-02-2025,Chinese Yuan Renminbi,0.083279,12.007878
27-02-2025,US Dollar,0.01145,87.33667
27-02-2025,Euro,0.010995,90.951086
27-02-2025,British Pound,0.009067,110.285854
27-02-2025,Australian Dollar,0.018303,54.634612
27-02-2025,Canadian Dollar,0.01652,60.53324
27-02-2025,Singapore Dollar,0.015428,64.818732
27-02-2025,Swiss Franc,0.010297,97.114897
27-02-2025,Malaysian Ringgit,0.050883,19.652976
27-02-2025,Japanese Yen,1.717021,0.582404
27-02-2025,Chinese Yuan Renminbi,0.083417,11.987915
28-02-2025,US Dollar,0.011439,87.416696
28-02-2025,Euro,0.010998,90.92833
28-02-2025,British Pound,0.009084,110.087246
28-02-2025,Australian Dollar,0.018396,54.360545
28-02-2025,Canadian Dollar,0.01648,60.680623
28-02-2025,Singapore Dollar,0.015431,64.806258
28-02-2025,Swiss Franc,0.01032,96.895695
28-02-2025,Malaysian Ringgit,0.051038,19.593396
28-02-2025,Japanese Yen,1.72346,0.580228
28-02-2025,Chinese Yuan Renminbi,0.083313,12.002978
01-03-2025,US Dollar,0.011432,87.474204
01-03-2025,Euro,0.011016,90.777177
01-03-2025,British Pound,0.00909,110.006879
01-03-2025,Australian Dollar,0.018413,54.308618
01-03-2025,Canadian Dollar,0.016536,60.473865
01-03-2025,Singapore Dollar,0.015447,64.738373
01-03-2025,Swiss Franc,0.010324,96.857812
01-03-2025,Malaysian Ringgit,0.051014,19.602463
01-03-2025,Japanese Yen,1.721736,0.580809
01-03-2025,Chinese Yuan Renminbi,0.083256,12.011075
02-03-2025,US Dollar,0.011432,87.476587
02-03-2025,Euro,0.011019,90.755822
02-03-2025,British Pound,0.009085,110.067992
02-03-2025,Australian Dollar,0.018413,54.308988
02-03-2025,Canadian Dollar,0.016536,60.472436
02-03-2025,Singapore Dollar,0.015447,64.739456
02-03-2025,Swiss Franc,0.010327,96.834373
02-03-2025,Malaysian Ringgit,0.051012,19.60319
02-03-2025,Japanese Yen,1.721837,0.580775
02-03-2025,Chinese Yuan Renminbi,0.083254,12.011404
03-03-2025,US Dollar,0.01146,87.259279
03-03-2025,Euro,0.01093,91.493928
03-03-2025,British Pound,0.009024,110.813777
03-03-2025,Australian Dollar,0.018359,54.46803
03-03-2025,Canadian Dollar,0.016504,60.591609
03-03-2025,Singapore Dollar,0.015412,64.88616
03-03-2025,Swiss Franc,0.010295,97.13446
03-03-2025,Malaysian Ringgit,0.051178,19.53948
03-03-2025,Japanese Yen,1.721851,0.58077
03-03-2025,Chinese Yuan Renminbi,0.083533,11.971328
04-03-2025,US Dollar,0.011457,87.279179
04-03-2025,Euro,0.010885,91.871708
04-03-2025,British Pound,0.009009,110.994173
04-03-2025,Australian Dollar,0.018459,54.173864
04-03-2025,Canadian Dollar,0.016611,60.200844
04-03-2025,Singapore Dollar,0.015389,64.982217
04-03-2025,Swiss Franc,0.010203,98.008236
04-03-2025,Malaysian Ringgit,0.051172,19.54197
04-03-2025,Japanese Yen,1.699954,0.588251
04-03-2025,Chinese Yuan Renminbi,0.083337,11.999541
05-03-2025,US Dollar,0.011509,86.891694
05-03-2025,Euro,0.010691,93.535104
05-03-2025,British Pound,0.008945,111.79386
05-03-2025,Australian Dollar,0.018247,54.802536
05-03-2025,Canadian Dollar,0.016567,60.360484
05-03-2025,Singapore Dollar,0.01533,65.231323
05-03-2025,Swiss Franc,0.010226,97.790094
05-03-2025,Malaysian Ringgit,0.050975,19.617287
05-03-2025,Japanese Yen,1.714142,0.583382
05-03-2025,Chinese Yuan Renminbi,0.083443,11.984186
06-03-2025,US Dollar,0.011489,87.039977
06-03-2025,Euro,0.01062,94.159356
06-03-2025,British Pound,0.008912,112.206683
06-03-2025,Australian Dollar,0.018091,55.274749
06-03-2025,Canadian Dollar,0.016396,60.99141
06-03-2025,Singapore Dollar,0.015299,65.361655
06-03-2025,Swiss Franc,0.010178,98.247558
06-03-2025,Malaysian Ringgit,0.050858,19.662466
06-03-2025,Japanese Yen,1.703013,0.587194
06-03-2025,Chinese Yuan Renminbi,0.083256,12.011135
07-03-2025,US Dollar,0.011483,87.087403
07-03-2025,Euro,0.010565,94.655615
07-03-2025,British Pound,0.008886,112.535385
07-03-2025,Australian Dollar,0.018191,54.972216
07-03-2025,Canadian Dollar,0.01649,60.641519
07-03-2025,Singapore Dollar,0.015272,65.480229
07-03-2025,Swiss Franc,0.010091,99.098481
07-03-2025,Malaysian Ringgit,0.050693,19.726541
07-03-2025,Japanese Yen,1.693861,0.590367
07-03-2025,Chinese Yuan Renminbi,0.083051,12.040838
08-03-2025,US Dollar,0.011481,87.099796
08-03-2025,Euro,0.010598,94.358157
08-03-2025,British Pound,0.008887,112.521359
08-03-2025,Australian Dollar,0.018213,54.906201
08-03-2025,Canadian Dollar,0.016507,60.580073
08-03-2025,Singapore Dollar,0.015282,65.437117
08-03-2025,Swiss Franc,0.010104,98.972994
08-03-2025,Malaysian Ringgit,0.050662,19.738619
08-03-2025,Japanese Yen,1.699801,0.588304
08-03-2025,Chinese Yuan Renminbi,0.083009,12.046844
09-03-2025,US Dollar,0.011481,87.099066
09-03-2025,Euro,0.010599,94.349509
09-03-2025,British Pound,0.00889,112.489105
09-03-2025,Australian Dollar,0.018215,54.899962
09-03-2025,Canadian Dollar,0.016499,60.611233
09-03-2025,Singapore Dollar,0.015282,65.435714
09-03-2025,Swiss Franc,0.010113,98.884302
09-03-2025,Malaysian Ringgit,0.050689,19.727959
09-03-2025,Japanese Yen,1.699746,0.588323
09-03-2025,Chinese Yuan Renminbi,0.083054,12.040423
10-03-2025,US Dollar,0.011456,87.291384
10-03-2025,Euro,0.010571,94.596235
10-03-2025,British Pound,0.008878,112.639807
10-03-2025,Australian Dollar,0.018164,55.053176
10-03-2025,Canadian Dollar,0.016533,60.486403
10-03-2025,Singapore Dollar,0.015263,65.519658
10-03-2025,Swiss Franc,0.010096,99.048102
10-03-2025,Malaysian Ringgit,0.050647,19.74456
10-03-2025,Japanese Yen,1.685758,0.593205
10-03-2025,Chinese Yuan Renminbi,0.083126,12.02988
11-03-2025,US Dollar,0.01147,87.18049
11-03-2025,Euro,0.010499,95.250343
11-03-2025,British Pound,0.00886,112.861323
11-03-2025,Australian Dollar,0.018252,54.788352
11-03-2025,Canadian Dollar,0.016593,60.265112
11-03-2025,Singapore Dollar,0.015261,65.52594
11-03-2025,Swiss Franc,0.010096,99.048445
11-03-2025,Malaysian Ringgit,0.050632,19.750435
11-03-2025,Japanese Yen,1.692265,0.590924
11-03-2025,Chinese Yuan Renminbi,0.082912,12.060918
12-03-2025,US Dollar,0.01147,87.186713
12-03-2025,Euro,0.010502,95.221392
12-03-2025,British Pound,0.008846,113.050156
12-03-2025,Australian Dollar,0.018194,54.963658
